"","YEAR","MONTH","I2015_NSA_IS.IP_F","I2015_NSA_IS.IP_F_CC1","I2015_NSA_IS.IP_F_CC2","I2015_NSA_IS.PEI_F_CC1","I2015_NSA_IS.PEI_F_CC11","I2015_NSA_IS.PEI_F_CC11_X_CC113","RT12.NSA_F_CC1_IS.PEI","RT12.NSA_F_CC11_IS.PEI","RT12.NSA_F_CC11_X_CC113_IS.PEI","BS.CCI.BAL_NSA","BS.CEME.BAL_NSA","BS.COB.BAL_NSA","BS.CPE.BAL_NSA","BS.CTA.BAL_NSA","BS.FLBA1.PC_NSA","BS.FLBA2.PC_NSA","BS.FLBA3.PC_NSA","BS.FLBA4.PC_NSA","BS.FLBA5.PC_NSA","BS.FLBA6.PC_NSA","BS.FLBA7.PC_NSA","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM"
"21",2018,1,93.6,95.8,83.2,112.3,107.2,108.8,11.5,1.5,1.1,3.9,12.2,-4.4,7.2,23.4,32.9,31.6,6.7,27.2,2,9.9,12.8,NA,123.6,-0.6,NA,87.8,2.8,NA,103.6,1,NA,112.3,11.5,NA,107.2,1.5,NA,122.9,-0.6,NA,89.1,4.8,71.9,17.5,NA,108.8,1.1,NA,117,21.7,NA,141.4,62.3,NA,113.7,16.9
"22",2017,12,90.1,90.8,86.1,117.3,129.7,130.7,0.3,0.8,2.1,1.5,11.3,-8.3,-0.1,23.5,34.7,31.3,2.3,27.3,2.2,9.6,13.1,90.7,124,8.3,135.8,140.8,-6.8,113.3,133.4,-1.1,96.4,117.3,0.3,105.9,129.7,0.8,89.4,122.7,8.1,135.1,141.9,-4.3,108,-25.4,105.9,130.7,2.1,87.2,105.7,-0.2,126.8,136.6,9.4,82.5,101.6,-1.7
"23",2017,11,113.3,111.7,119,108,101.8,100.9,1,-9,-9.2,-2.8,4.8,-10.4,-4.9,19.6,32.2,34,1.4,26.8,2.4,11.6,14.4,77.6,103.6,-1,104.8,97.9,-19.6,91.2,100.4,-12,90.2,108,1,86.4,101.8,-9,77.4,103.1,-0.8,102.4,97.8,-19.3,122.2,-5.3,86.4,100.9,-9.2,93.8,113.7,11.3,128.6,138.5,22.3,89.7,110.3,9.5
"24",2017,10,115.3,112.9,124.3,130.2,122.8,120.8,10.2,4.9,3.6,-0.4,10.3,-11.2,-3.2,12.1,33.3,34,1,26.6,2.6,9.4,14.9,82.7,111.7,5.5,137.1,135.9,1.2,110,125.2,2.9,106.5,130.2,10.2,99.8,122.8,4.9,81.2,110.2,5.3,132.7,135.6,1.8,168.8,30.7,99.8,120.8,3.6,113,137,14.9,144.2,155.3,17.2,109.4,134.6,14.7
"25",2017,9,108.1,106.2,115,134.2,141.9,138.8,2.4,0.2,-1,-1.2,13.1,-15.5,-5.1,16.2,34,34.7,0.8,26.1,1.7,9.6,14,90.4,125.1,-5.8,156,159.4,4.4,123.3,144.2,0.2,108.7,134.2,2.4,112.7,141.9,0.2,91.3,126.7,-3.9,150.7,155.9,2.6,212.6,23.2,112.7,138.8,-1,104.8,127.1,4.9,140.7,151.5,-1.9,100.6,123.8,6.1
"26",2017,8,65.7,62.8,77.7,122.4,107.8,109.5,11.6,4.8,5.6,-1.3,11.3,-14,-5.8,17.5,34.4,36.2,1,25.9,1.6,8.8,13,78.4,106.9,1.4,108.4,112.8,10.6,93.5,110.2,6.5,100.4,122.4,11.6,88.3,107.8,4.8,78.6,107.8,2.6,105.4,111.8,9.9,70.8,-16.1,88.3,109.5,5.6,112,135.8,17,100.6,108.3,33.9,113.3,139.5,15.5
"27",2017,7,106.7,105.1,112.4,131.1,143,143.5,19.1,15.9,18,-0.8,14.2,-15.7,-5,14.9,36,34.5,1,23.7,1.6,10.1,13.2,88.7,123.8,9.7,165.2,171.1,26.4,127,150.1,19.6,107.2,131.1,19.1,115.8,143,15.9,88.5,124,9.5,164.3,170.9,28.1,131.6,-19.5,115.8,143.5,18,99,120,22.6,141,151.9,68,94,115.7,17
"28",2017,6,112.7,111,118.7,125.6,134.1,133.9,6.6,9.6,9.4,-7.1,6.9,-21.1,-11.6,9.2,37.2,38.7,1.5,16.9,0.9,9.5,13.4,88.1,125.8,0.6,145.1,145.8,19.7,116.7,136.9,11.1,101.9,125.6,6.6,106.8,134.1,9.6,88.5,126.6,2,139.3,144.1,20,139.1,14.5,106.8,133.9,9.4,97.1,117.7,3.7,104.8,112.8,2.4,96.2,118.4,3.9
"29",2017,5,106.6,105.9,108.7,114.5,118.9,119.5,15,10.2,11.1,-9.1,4.8,-23.1,-14.9,4.4,35.5,39.5,2,17.1,0.9,8.4,14.2,84.7,120.7,9.7,117,118.4,13.7,100.9,119.4,11.9,93.3,114.5,15,95.5,118.9,10.2,84.4,119.9,8.9,115.3,119,14.2,105.1,-8,95.5,119.5,11.1,91.1,110.4,20.3,99.8,107.4,11.5,90.1,110.8,21.5
"30",2017,4,102,101.2,104.2,97.4,101.7,102.6,-8.4,-1.8,0.2,-10.7,1.9,-23.2,-12,-7.7,33.8,43.6,2.4,15.7,0.9,9.9,15.1,70.4,99.1,-3.7,106.9,109.1,3.8,88.7,104.7,0.6,79.7,97.4,-8.4,82.3,101.7,-1.8,70.2,99.2,-3.2,103.6,107.4,5,80.8,-38.4,82.3,102.6,0.2,77.1,93.5,-14.1,133.5,143.8,8.4,70.5,86.8,-17.9
"31",2017,3,107.9,106.1,114.1,127.2,137.4,135.9,22.5,26.1,24.7,-16.9,-3.4,-30.4,-14.1,-6.3,33.1,43.8,6.4,12.6,0.8,9.8,13.1,99.2,141.3,25,136,129.1,23.4,117.6,134.5,24.2,103.4,127.2,22.5,110,137.4,26.1,100.1,142.5,27.2,127.4,126.6,20.8,171.6,57.3,110,135.9,24.7,97.2,117.8,19.1,77.9,83.9,-6,99.4,122.4,22.2
"32",2017,2,107.5,108.7,101.1,97.2,104.7,103.7,-2.2,5.5,4.4,-17.3,-6,-28.5,-15,1.7,34,44.1,8.1,12.1,0.6,9.5,13.1,78.3,110.9,13.2,95.1,92.4,-8.2,86.7,100.6,1.2,79.2,97.2,-2.2,84,104.7,5.5,79.8,112.5,14.3,91.6,91.3,-9.2,127.6,33.2,84,103.7,4.4,74.5,90.4,-9.2,65.3,70.3,-12.6,75.6,93.1,-8.9
"33",2017,1,94.2,96.8,82.2,100.7,105.6,107.6,5.3,15,15.7,-16.8,-4.3,-29.3,-13.8,11.3,33.1,44.5,5.6,11.9,0.8,9.3,14.7,87.6,124.3,30.4,82.6,85.4,-2.4,85.1,102.6,12.7,82.1,100.7,5.3,85,105.6,15,87.2,123.7,28.5,81.1,85,-3.7,61.2,-4.2,85,107.6,15.7,79.2,96.1,-3.1,80.8,87.1,3.4,79.1,97.3,-3.9
"34",2016,12,87.7,87.3,89.1,116.9,128.7,128,11.2,11.3,12.7,-24.5,-11.3,-37.7,-21,4.7,31.5,48.3,1.9,11.4,0.6,8.4,14.8,81.5,114.5,11.8,150.8,151,15.9,116.2,134.9,14.3,95.3,116.9,11.2,103.6,128.7,11.3,80.7,113.5,10.9,144.1,148.2,14.6,144.7,-10.6,103.6,128,12.7,87.4,105.9,11.1,116,124.9,28.5,84,103.4,8.7
"35",2016,11,110.1,108.8,114.7,106.9,111.9,111.1,7.7,13.8,15.6,-23.4,-12.4,-34.4,-22.2,7.8,31.5,49.2,1.8,11.9,0.7,9.1,15,74.4,104.6,13.7,119.9,121.7,18.3,97.2,114.1,16.3,87.1,106.9,7.7,89.9,111.9,13.8,73.9,103.9,14.2,118.5,121.2,17.4,129.1,-12.7,89.9,111.1,15.6,84.3,102.2,2,105.1,113.2,31.5,81.9,100.7,-1.4
"36",2016,10,111.2,108.7,120.2,118.2,117.1,116.6,4.4,9.1,7,-22.1,-6,-38.2,-21.7,2.1,31.3,49.9,1.5,12.4,0.8,8.1,14,74.6,105.9,4.6,128.9,134.3,6.4,101.8,121.7,5.7,95.5,118.2,4.4,92.5,117.1,9.1,74,104.7,6.7,125.5,133.2,7.2,129.2,93.4,92.5,116.6,7,98.3,119.2,0.4,123,132.5,-7.3,95.4,117.4,1.6
"37",2016,9,109.9,106.4,122.6,131,141.6,140.2,18.1,25.4,25,-26.4,-10.2,-42.5,-23.8,-6.7,31.8,47.4,3.9,9.9,0.8,9.8,14.1,92.8,132.8,15.8,151.4,152.7,40.6,122.2,143.9,29.3,106.2,131,18.1,112.8,141.6,25.4,92.2,131.9,14.3,149.2,151.9,40.8,172.5,34.2,112.8,140.2,25,99.9,121.2,11.2,143.5,154.5,9.3,94.8,116.7,11.6
"38",2016,8,65.8,62.1,79,109.7,102.9,103.7,24,16.9,15.9,-24.5,-9,-40,-22.1,0.1,30.8,48.6,4.7,10.5,1,9.8,14.2,72.7,105.4,13.3,97.4,102,22.4,85,103.5,18.2,88.6,109.7,24,81.2,102.9,16.9,72.5,105.1,12,96.6,101.7,21.9,84.4,53.2,81.2,103.7,15.9,95.7,116.1,30.6,75.1,80.9,-13.2,98.2,120.8,36.8
"39",2016,7,103.7,101.5,111.7,110.1,123.4,121.6,-3.7,7,7,-26.4,-10.2,-42.5,-23.8,-6.7,29.8,51.3,6.6,10.2,1.2,9.1,14.1,76.7,112.9,-1.6,137.8,135.4,21.7,107.3,125.5,11.3,88.5,110.1,-3.7,96.5,123.4,7,77,113.2,-1.6,131.3,133.4,19.4,163.4,6,96.5,121.6,7,80.7,97.9,-13.7,83.9,90.4,-31,80.3,98.9,-10.9
