"","RT1-SCA_F_IS-IP","RT1-SCA_F_CC1_IS-IP","RT1-SCA_F_CC1_IS-PEI","RT1-SCA_F_CC11_IS-PEI","RT1-SCA_F_CC11_X_CC113_IS-PEI","RT1-SCA_F_CC2_IS-IP","RT12-CA_F_IS-IP","RT12-CA_F_CC1_IS-IP","RT12-CA_F_CC2_IS-IP","RT12-NSA_F_CC1_IS-PEI","RT12-NSA_F_CC11_IS-PEI","RT12-NSA_F_CC11_X_CC113_IS-PEI","YEAR","MONTH"
"1",": ",": ","4.8 s","2.4 s","0.3 s",": ",": ",": ",": ","-10.1 ","-6.8 ","-4.7 ","2019","09 "
"2","0.3 ","1.5 ","-20.3 s","-5.6 s","-6.5 s","-4.1 ","-0.9 ","0.2 ","-4.7 ","-7.4 ","-6.5 ","-4.7 ","2019","08 "
"3","-2.8 ","-3.7 ","15.8 s","3.2 s","6.7 s","0.7 ","-0.9 ","-1.5 ","1.2 ","15.0 ","5.4 ","7.3 ","2019","07 "
"4","0.9 ","1.3 ","-10.6 s","-0.9 s","-2.8 s","-0.5 ","2.0 ","2.1 ","1.6 ","1.5 ","-3.3 ","-4.8 ","2019","06 "
"5","2.1 ","2.3 ","6.2 s","-2.0 s","-1.7 s","0.8 ","4.4 ","3.5 ","7.8 ","15.7 ","-3.5 ","-1.8 ","2019","05 "
"6","-4.7 ","-4.9 ","5.2 s","3.2 s","3.1 s","-3.6 ","-2.0 ","-3.3 ","3.2 ","8.7 ","4.4 ","2.9 ","2019","04 "
"7","0.6 ","0.5 ","-5.8 s","7.2 s","3.5 s","1.2 ","7.7 ","6.8 ","11.6 ","-5.5 ","-5.2 ","-6.2 ","2019","03 "
"8","4.7 ","4.3 ","-3.6 s","-2.8 s","-1.5 s","6.3 ","4.9 ","3.5 ","12.1 ","1.3 ","-14.5 ","-14.7 ","2019","02 "
"9","-3.9 ","-3.6 ","10.7 s","-2.6 s","-0.6 s","-5.2 ","0.7 ","0.1 ","3.2 ","1.2 ","-5.3 ","-5.4 ","2019","01 "
"10","3.2 ","2.3 ","-4.4 s","-0.4 s","-1.7 s","7.6 ","-0.3 ","-1.3 ","4.2 ","-6.9 ","-13.4 ","-14.4 ","2018","12 "
"11","1.2 ","2.7 ","1.7 s","-4.3 s","-6.6 s","-5.0 ","0.3 ","1.1 ","-2.9 ","-2.3 ","-2.2 ","-2.4 ","2018","11 "
"12","-4.4 ","-5.3 ","-5.7 s","-6.8 s","0.5 s","-0.6 ","-1.5 ","-2.5 ","2.3 ","-5.1 ","2.0 ","5.2 ","2018","10 "
"13","3.0 ","3.8 ","10.1 s","9.7 s","7.4 s","0.1 ","4.1 ","3.9 ","5.0 ","-3.1 ","-8.5 ","-8.4 ","2018","09 "
"14","-0.1 ","-0.2 ","-0.4 s","-0.3 s","-0.3 s","-0.2 ","0.2 ","-1.1 ","4.9 ","-19.4 ","-7.5 ","-11.4 ","2018","08 "
"15","-0.1 ","-0.5 ","0.7 s","1.1 s","-1.0 s","1.6 ","-0.5 ","-1.8 ","4.9 ","-6.0 ","-10.3 ","-11.4 ","2018","07 "
"16","3.4 ","2.9 ","0.8 s","-4.3 s","-2.4 s","5.6 ","1.7 ","1.4 ","3.2 ","-6.9 ","-11.9 ","-11.4 ","2018","06 "
"17","-4.3 ","-4.5 ","-0.1 s","2.5 s","0.0 s","-3.4 ","-4.6 ","-4.5 ","-4.5 ","-11.5 ","-6.3 ","-7.9 ","2018","05 "
"18","4.8 ","4.9 ","-8.0 s","0.3 s","-0.6 s","4.7 ","0.2 ","0.4 ","-0.1 ","-1.2 ","1.3 ","1.7 ","2018","04 "
"19","-2.3 ","-3.0 ","1.0 s","-6.5 s","-6.9 s","0.6 ","-3.0 ","-2.6 ","-4.3 ","-4.6 ","-13.4 ","-11.3 ","2018","03 "
"20","0.8 ","1.5 ","-3.9 s","7.6 s","8.1 s","-2.0 ","-1.0 ","0.2 ","-7.0 ","9.4 ","7.1 ","8.8 ","2018","02 "
"21","-5.4 ","-5.5 ","2.3 s","-11.0 s","-10.8 s","-4.9 ","-0.5 ","-0.7 ","1.1 ","11.5 ","1.5 ","1.1 ","2018","01 "
"22","4.2 ","5.1 ","0.4 s","12.8 s","13.0 s","0.8 ","6.9 ","7.1 ","4.6 ","0.3 ","0.8 ","2.1 ","2017","12 "
"23","-0.4 ","-0.7 ","-1.9 s","-3.6 s","-2.2 s","0.8 ","0.0 ","-0.3 ","0.7 ","1.0 ","-9.0 ","-9.2 ","2017","11 "
"24","0.9 ","0.6 ","-3.4 s","-10.9 s","-8.8 s","2.0 ","0.6 ","0.7 ","0.5 ","10.2 ","4.9 ","3.6 ","2017","10 "
"25","-1.2 ","-1.1 ","-6.4 s","7.7 s","3.7 s","-1.2 ","0.9 ","2.4 ","-3.5 ","2.4 ","0.2 ","-1.0 ","2017","09 "
"26","-0.2 ","-0.5 ","12.8 s","-6.6 s","-5.9 s","0.6 ","0.3 ","1.5 ","-1.7 ","11.6 ","4.8 ","5.6 ","2017","08 "
"27","1.6 ","2.0 ","0.4 s","6.2 s","5.4 s","0.3 ","2.8 ","3.5 ","0.7 ","19.1 ","15.9 ","18.0 ","2017","07 "
"28","-2.6 ","-2.7 ","-3.3 s","-1.6 s","-0.3 s","-2.2 ","2.9 ","3.9 ","-0.6 ","6.6 ","9.6 ","9.4 ","2017","06 "
"29","0.4 ","0.2 ","11.2 s","7.4 s","7.0 s","1.0 ","4.8 ","5.4 ","1.5 ","15.0 ","10.2 ","11.1 ","2017","05 "
"30","1.4 ","1.7 ","-11.5 s","-8.5 s","-9.0 s","0.0 ","6.5 ","7.9 ","1.4 ","-8.4 ","-1.8 ","0.2 ","2017","04 "
"31","-0.9 ","-0.7 ","15.0 s","12.0 s","11.4 s","-1.6 ","6.0 ","6.7 ","2.9 ","22.5 ","26.1 ","24.7 ","2017","03 "
"32","2.6 ","1.8 ","-2.1 s","-1.2 s","-1.4 s","6.3 ","7.4 ","7.1 ","7.0 ","-2.2 ","5.5 ","4.4 ","2017","02 "
"33","0.5 ","1.2 ","-7.0 s","-5.9 s","-5.3 s","-3.2 ","-4.0 ","-3.7 ","-8.7 ","5.3 ","15.0 ","15.7 ","2017","01 "
"34","-2.1 ","-2.1 ","0.9 s","-1.4 s","-0.8 s","-1.9 ","2.5 ","1.3 ","7.7 ","11.2 ","11.3 ","12.7 ","2016","12 "
"35","0.6 ","0.7 ","8.2 s","7.4 s","7.4 s","0.6 ","1.8 ","0.5 ","6.3 ","7.7 ","13.8 ","15.6 ","2016","11 "
"36","1.0 ","2.0 ","-11.1 s","-9.3 s","-8.7 s","-2.6 ","1.7 ","0.8 ","4.9 ","4.4 ","9.1 ","7.0 ","2016","10 "
"37","-1.0 ","-1.9 ","1.1 s","9.3 s","8.0 s","2.0 ","0.7 ","-2.2 ","11.0 ","18.1 ","25.4 ","25.0 ","2016","09 "
"38","1.7 ","1.7 ","23.9 s","3.1 s","7.4 s","1.7 ","6.9 ","5.7 ","10.3 ","24.0 ","16.9 ","15.9 ","2016","08 "
"39","1.3 ","2.0 ","-11.3 s","0.4 s","-3.1 s","-0.6 ","0.4 ","-1.8 ","8.2 ","-3.7 ","7.0 ","7.0 ","2016","07 "
"40","-0.7 ","-1.0 ","2.8 s","-4.3 s","-2.9 s","0.3 ","-1.6 ","-4.0 ","6.8 ","-2.3 ","6.3 ","7.9 ","2016","06 "
"41","2.1 ","2.4 ","-9.8 s","2.2 s","2.6 s","0.9 ","-2.4 ","-3.1 ","-0.2 ","14.9 ","32.4 ","30.0 ","2016","05 "
"42","0.9 ","0.6 ","18.2 s","13.7 s","12.0 s","1.7 ","-3.0 ","-5.2 ","5.0 ","15.4 ","12.6 ","10.3 ","2016","04 "
"43","-0.5 ","-1.2 ","-8.9 s","-5.2 s","-7.9 s","2.1 ","-6.0 ","-8.1 ","1.7 ","3.3 ","6.0 ","5.8 ","2016","03 "
"44","-7.2 ","-7.2 ","4.5 s","3.4 s","4.8 s","-7.1 ","-1.8 ","-1.9 ","-0.9 ","13.1 ","19.4 ","17.4 ","2016","02 "
"45","6.4 ","5.6 ","-1.2 s","-3.1 s","-1.2 s","9.4 ","1.7 ","1.7 ","1.4 ","18.0 ","4.4 ","4.0 ","2016","01 "
"46","-2.5 ","-2.8 ","-3.0 s","-5.4 s","-5.6 s","-1.2 ","-1.6 ","-1.8 ","-0.7 ","8.1 ","15.6 ","16.3 ","2015","12 "
"47","0.9 ","1.3 ","6.3 s","10.0 s","7.0 s","-0.5 ","2.7 ","2.9 ","2.0 ","29.1 ","29.5 ","25.3 ","2015","11 "
"48","0.0 ","-1.1 ","1.4 s","0.4 s","5.8 s","3.5 ","-0.6 ","-1.1 ","0.9 ","9.6 ","8.1 ","11.3 ","2015","10 "
"49","4.0 ","5.8 ","2.8 s","-4.1 s","-9.3 s","-2.1 ","-0.6 ","0.3 ","-3.7 ","2.8 ","7.8 ","6.8 ","2015","09 "
"50","-3.4 ","-5.1 ","-2.4 s","7.4 s","14.9 s","2.7 ","-4.6 ","-4.6 ","-4.9 ","6.9 ","16.4 ","20.5 ","2015","08 "
"51","-0.9 ","-0.7 ","-9.6 s","-6.4 s","-8.0 s","-1.1 ","-2.6 ","-1.7 ","-5.7 ","-3.2 ","0.3 ","-1.4 ","2015","07 "
"52","-1.4 ","0.2 ","19.5 s","15.2 s","9.8 s","-7.0 ","-2.4 ","-1.4 ","-5.6 ","7.2 ","10.5 ","10.3 ","2015","06 "
"53","1.3 ","0.0 ","-9.5 s","-7.2 s","-6.0 s","5.9 ","0.3 ","-0.6 ","4.2 ","1.5 ","-5.9 ","-3.3 ","2015","05 "
"54","-2.0 ","-2.1 ","7.3 s","0.4 s","2.3 s","-1.0 ","-3.2 ","-2.5 ","-5.6 ","5.1 ","10.3 ","10.1 ","2015","04 "
"55","3.2 ","4.4 ","-1.3 s","9.3 s","2.7 s","-0.7 ","-2.8 ","-1.9 ","-6.4 ","-17.4 ","-9.6 ","-7.7 ","2015","03 "
"56","-2.8 ","-2.3 ","8.4 s","-5.5 s","-1.9 s","-4.9 ","-5.4 ","-5.4 ","-5.2 ","-7.4 ","-9.2 ","-8.3 ","2015","02 "
"57","2.2 ","1.0 ","-8.2 s","3.5 s","7.9 s","6.4 ","-4.1 ","-4.6 ","-2.0 ","-13.8 ","-5.7 ","-5.3 ","2015","01 "
"58","1.8 ","1.9 ","13.0 s","2.6 s","-5.9 s","1.5 ","-6.1 ","-5.5 ","-8.5 ","-9.2 ","-4.3 ","-5.7 ","2014","12 "
"59","-2.4 ","-2.6 ","-6.4 s","-2.0 s","5.9 s","-1.7 ","-6.1 ","-5.6 ","-7.2 ","-17.6 ","-13.4 ","-12.3 ","2014","11 "
"60","0.1 ","0.6 ","-6.1 s","-3.5 s","-2.4 s","-1.6 ","-4.6 ","-4.5 ","-4.9 ","-17.0 ","-13.5 ","-14.6 ","2014","10 "
"61","-0.3 ","0.1 ","6.1 s","3.9 s","-1.4 s","-1.6 ","-5.8 ","-6.4 ","-3.9 ","-7.4 ","0.3 ","0.1 ","2014","09 "
"62","-1.7 ","-2.2 ","-11.2 s","-7.6 s","-2.8 s","-0.3 ","-4.9 ","-5.9 ","-1.7 ","-8.0 ","-5.6 ","-8.5 ","2014","08 "
"63","-0.5 ","-0.4 ","1.2 s","-0.1 s","1.1 s","-0.8 ","-3.9 ","-3.8 ","-4.2 ","-7.1 ","2.5 ","1.6 ","2014","07 "
"64","1.8 ","1.3 ","12.5 s","4.9 s","1.8 s","3.8 ","-3.2 ","-3.7 ","-1.7 ","-2.0 ","0.7 ","0.8 ","2014","06 "
"65","-2.8 ","-2.2 ","-6.7 s","5.3 s","2.9 s","-4.9 ","-4.1 ","-4.2 ","-4.2 ","-16.8 ","-1.4 ","-2.7 ","2014","05 "
"66","-1.0 ","-1.0 ","-16.1 s","-20.3 s","-16.7 s","-0.8 ","-1.3 ","-2.1 ","0.9 ","-13.9 ","-14.5 ","-14.1 ","2014","04 "
"67","0.1 ","-0.2 ","12.5 s","13.7 s","6.4 s","0.9 ","1.6 ","0.8 ","4.8 ","-2.1 ","-14.0 ","-16.0 ","2014","03 "
"68","-0.7 ","-0.3 ","1.6 s","1.3 s","4.8 s","-1.6 ","1.5 ","1.6 ","1.3 ","-24.9 ","-40.1 ","-41.2 ","2014","02 "
"69","-0.6 ","-0.7 ","-4.6 s","-2.0 s","-1.2 s","-0.4 ","5.0 ","4.8 ","6.3 ","-26.0 ","-32.1 ","-32.9 ","2014","01 "
"70","1.3 ","1.4 ","4.5 s","-0.6 s","-4.1 s","0.8 ","0.2 ","0.2 ","0.6 ","-3.6 ","-16.5 ","-19.0 ","2013","12 "
"71","-0.9 ","-1.2 ","-9.2 s","-5.3 s","-3.1 s","0.4 ","0.4 ","0.1 ","1.7 ","-18.0 ","-15.8 ","-15.6 ","2013","11 "
"72","-0.7 ","-1.0 ","5.4 s","7.7 s","11.1 s","0.3 ","2.2 ","2.0 ","2.5 ","-9.7 ","-11.6 ","-10.5 ","2013","10 "
"73","0.1 ","-0.1 ","7.7 s","4.9 s","-1.7 s","1.0 ","2.6 ","2.7 ","2.1 ","-12.7 ","-18.3 ","-18.9 ","2013","09 "
"74","-0.6 ","0.3 ","-12.0 s","-3.0 s","3.3 s","-3.4 ","0.0 ","-0.2 ","-0.8 ","-23.7 ","-33.0 ","-28.8 ","2013","08 "
"75","0.7 ","0.1 ","7.5 s","-5.1 s","-3.2 s","2.6 ","2.4 ","1.9 ","4.2 ","-9.7 ","-22.2 ","-21.4 ","2013","07 "
"76","1.0 ","0.9 ","-2.9 s","9.8 s","5.3 s","1.2 ","1.7 ","2.1 ","0.0 ","-14.8 ","-22.7 ","-24.3 ","2013","06 "
"77","-0.3 ","-0.2 ","-3.3 s","-11.5 s","-11.6 s","-0.3 ","-0.4 ","-0.1 ","-1.3 ","-12.9 ","-24.9 ","-25.9 ","2013","05 "
"78","2.7 ","2.2 ","-6.3 s","-20.1 s","-19.9 s","4.4 ","0.5 ","0.2 ","1.9 ","-11.3 ","-21.2 ","-21.4 ","2013","04 "
"79","-0.7 ","0.0 ","-11.7 s","-20.5 s","-22.1 s","-3.4 ","-3.2 ","-2.3 ","-7.3 ","-5.0 ","-1.3 ","1.4 ","2013","03 "
"80","3.0 ","3.3 ","0.1 s","14.8 s","16.5 s","2.1 ","8.4 ","6.6 ","17.4 ","3.9 ","27.9 ","32.5 ","2013","02 "
"81","-5.8 ","-5.6 ","21.6 s","16.3 s","13.6 s","-7.2 ","-8.4 ","-8.0 ","-9.7 ","4.1 ","6.8 ","7.8 ","2013","01 "
"82","1.5 ","0.9 ","-9.5 s","7.0 s","8.6 s","4.9 ","1.2 ","0.3 ","5.6 ","-17.4 ","-14.4 ","-13.5 ","2012","12 "
"83","1.0 ","0.8 ","-2.7 s","-3.6 s","-2.9 s","1.6 ","-3.8 ","-3.9 ","-3.9 ","-1.6 ","-13.0 ","-14.8 ","2012","11 "
"84","0.2 ","0.3 ","1.4 s","-4.1 s","-3.1 s","-0.2 ","-3.4 ","-3.5 ","-3.0 ","-5.9 ","-1.7 ","-1.9 ","2012","10 "
"85","-3.1 ","-3.3 ","-2.3 s","-7.7 s","-2.8 s","-2.6 ","-4.7 ","-4.7 ","-5.0 ","-6.8 ","-18.5 ","-18.9 ","2012","09 "
"86","2.2 ","2.2 ","0.4 s","5.2 s","-0.7 s","2.3 ","-3.2 ","-3.0 ","-3.7 ","-5.9 ","-2.8 ","-9.2 ","2012","08 "
"87","0.5 ","0.9 ","1.4 s","0.8 s","1.0 s","-1.3 ","-3.2 ","-3.3 ","-3.0 ","-5.0 ","-7.1 ","-6.9 ","2012","07 "
"88","-0.3 ","-0.2 ","1.7 s","3.5 s","3.3 s","-0.5 ","-2.9 ","-3.5 ","-0.7 ","2.1 ","-6.8 ","-7.1 ","2012","06 "
"89","0.2 ","-0.5 ","-1.4 s","-10.3 s","-8.5 s","3.2 ","-7.3 ","-6.8 ","-9.2 ","-12.0 ","-18.6 ","-18.1 ","2012","05 "
"90","-1.0 ","0.2 ","-1.3 s","6.4 s","6.9 s","-5.9 ","-5.1 ","-4.2 ","-9.1 ","-7.7 ","3.1 ","4.0 ","2012","04 "
"91","10.9 ","8.5 ","-3.3 s","1.0 s","-1.7 s","21.7 ","-5.3 ","-5.4 ","-4.7 ","-3.0 ","-1.0 ","-4.3 ","2012","03 "
"92","-13.0 ","-11.3 ","0.3 s","-7.8 s","-6.3 s","-20.0 ","-16.3 ","-14.2 ","-24.8 ","9.0 ","1.3 ","-1.7 ","2012","02 "
"93","3.3 ","2.8 ","-3.0 s","-0.7 s","-5.0 s","5.3 ","-5.5 ","-4.4 ","-10.0 ","-2.0 ","0.0 ","-0.3 ","2012","01 "
"94","-3.3 ","-3.3 ","7.9 s","5.5 s","6.8 s","-3.1 ","6.1 ","5.4 ","9.1 ","3.4 ","6.8 ","7.6 ","2011","12 "
"95","1.8 ","1.5 ","-7.6 s","1.9 s","4.8 s","3.0 ","-1.9 ","-1.9 ","-1.1 ","1.7 ","11.7 ","12.5 ","2011","11 "
"96","-1.2 ","-1.1 ","0.3 s","-9.7 s","-13.3 s","-2.0 ","-5.4 ","-5.3 ","-6.4 ","8.2 ","3.9 ","2.5 ","2011","10 "
"97","-2.0 ","-2.0 ","0.1 s","3.6 s","6.7 s","-1.5 ","-3.8 ","-3.4 ","-5.0 ","8.8 ","14.2 ","14.2 ","2011","09 "
"98","2.2 ","2.1 ","0.0 s","-2.8 s","-2.1 s","2.7 ","0.0 ","0.0 ","-0.1 ","10.9 ","11.1 ","12.4 ","2011","08 "
"99","1.0 ","0.7 ","9.9 s","8.0 s","5.9 s","1.7 ","-3.4 ","-2.6 ","-6.7 ","1.0 ","0.6 ","2.1 ","2011","07 "
"100","-4.4 ","-3.2 ","-11.8 s","-15.1 s","-12.0 s","-9.3 ","-6.1 ","-5.5 ","-8.6 ","-3.0 ","1.1 ","0.6 ","2011","06 "
"101","2.1 ","2.0 ","3.4 s","17.3 s","17.4 s","2.7 ","-2.1 ","-2.4 ","-1.5 ","15.6 ","20.3 ","19.5 ","2011","05 "
"102","-0.8 ","-0.9 ","2.4 s","4.9 s","0.7 s","-0.8 ","-3.8 ","-4.0 ","-2.9 ","5.3 ","-0.4 ","2.4 ","2011","04 "
"103","-2.3 ","-2.0 ","8.0 s","-0.9 s","-1.5 s","-3.1 ","-3.1 ","-3.2 ","-2.5 ","0.6 ","-2.8 ","-2.2 ","2011","03 "
"104","-1.6 ","-1.1 ","-9.1 s","-10.9 s","-6.8 s","-3.9 ","3.2 ","2.0 ","8.6 ","10.0 ","5.3 ","6.1 ","2011","02 "
"105","15.1 ","13.3 ","2.6 s","13.1 s","7.6 s","22.8 ","4.5 ","3.2 ","11.1 ","18.5 ","25.1 ","27.6 ","2011","01 "
"106","-10.0 ","-9.9 ","6.1 s","7.1 s","8.0 s","-10.0 ","-9.9 ","-8.7 ","-15.1 ","19.8 ","17.5 ","20.3 ","2010","12 "
"107","-1.9 ","-1.8 ","-1.1 s","-5.1 s","-3.1 s","-2.6 ","-3.7 ","-4.0 ","-2.7 ","2.5 ","8.5 ","11.3 ","2010","11 "
"108","0.5 ","0.7 ","0.3 s","-1.4 s","-3.4 s","-0.4 ","-0.5 ","-0.1 ","-2.5 ","1.8 ","8.8 ","7.4 ","2010","10 "
"109","1.6 ","1.3 ","1.3 s","-2.0 s","0.5 s","2.7 ","-1.4 ","-1.2 ","-1.9 ","6.3 ","20.7 ","21.7 ","2010","09 "
"110","-1.2 ","-0.6 ","-8.6 s","-6.3 s","-5.5 s","-3.7 ","0.7 ","2.0 ","-3.5 ","8.0 ","25.5 ","26.6 ","2010","08 "
