"","Year","Produit intérieur brut (PIB)","Importations de biens et de services","Dépense de consommation finale","  ménages","  administrations publiques...6","Formation brute de capital fixe","  sociétés et entreprises individuelles non financières","  administrations publiques...9","  ménages hors entrepreneurs individuels","Exportations de biens et de services","Demande intérieure hors stocks","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Value","Flag.Codes"
"24",1973,949.890336779434,114.621610437022,711.534769596299,493.15479154209,198.950274347583,248.47833612954,109.988416053014,47.5908517351049,98.8759029775924,102.231481504433,964.57919352973,"FRA","LTINT","TOT","PC_PA","A",8.998333,""
"25",1974,990.743612604795,120.939779309989,734.905594078532,507.154617709322,208.663141004154,254.520587489268,110.352431916437,48.5005877020419,104.411020881936,114.007120470289,993.87353713992,"FRA","LTINT","TOT","PC_PA","A",11.0025,""
"26",1975,981.233783665055,110.198123221797,755.936835077743,517.490584848102,220.309853723044,242.016020493888,101.983978291555,52.0429083156182,96.8412365538039,110.36285275398,1001.14570143108,"FRA","LTINT","TOT","PC_PA","A",10.31167,""
"27",1976,1023.98374487208,130.692345243028,794.360490518804,546.293669419071,229.242638587315,247.394912361252,106.39355458341,53.007577412279,96.4620870570071,119.759489431693,1044.62245719199,"FRA","LTINT","TOT","PC_PA","A",10.51,""
"28",1977,1059.45753161814,133.03957888155,815.903193105049,560.505860405608,236.433935150993,245.747021903451,107.553482716548,49.1653831923278,96.0735238020968,129.224957803471,1063.94297616145,"FRA","LTINT","TOT","PC_PA","A",10.99167,""
"29",1978,1101.6085700206,138.934195415695,853.203017794506,582.472782992229,251.634569618885,252.626827244003,109.592046171181,48.2603362801774,102.89713184902,137.695038113254,1107.83711750418,"FRA","LTINT","TOT","PC_PA","A",10.61167,""
"30",1979,1140.71567524223,151.163755867889,882.095641372277,602.324376047989,260.127175202551,260.163366282856,113.136506417459,49.0613648512068,105.781263079849,146.951835313828,1144.16927376401,"FRA","LTINT","TOT","PC_PA","A",10.8475,""
"31",1980,1158.72531410019,158.942613364574,897.313879138046,609.386641159257,268.302894745535,268.142795031047,120.017099234055,49.127504270791,106.303886592855,151.038173633551,1167.66563191465,"FRA","LTINT","TOT","PC_PA","A",13.78417,""
"32",1981,1171.11223552314,156.722830513217,917.327374808425,621.758004985217,276.061633536056,265.567653336396,118.741153152979,50.4376340697916,102.788740678816,158.368426984158,1184.71518390993,"FRA","LTINT","TOT","PC_PA","A",16.29167,""
"33",1982,1200.45282901977,162.306224991966,950.069862910987,642.358724091544,288.122874201295,263.202371536575,120.052328742128,51.7586506282095,96.0884734258121,156.585113526153,1214.66811934507,"FRA","LTINT","TOT","PC_PA","A",15.9975,""
