nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B0520,V15420,NO	0.0 	0.0 	0.0 
B0520,V15420,PL	0.0 d	: 	0.3 d
B0520,V15420,PT	0.0 	0.0 	0.0 
B0520,V15420,RO	: c	0.1 	: c
B0520,V15420,SI	: c	0.0 	: c
B0520,V15420,SK	: c	0.0 	: c
B0520,V15420,UK	0.0 	0.0 	0.0 
B0520,V15441,AT	0.0 	0.0 	0.0 
B0520,V15441,BE	0.0 	: c	0.0 
B0520,V15441,BG	0.0 	: c	0.1 
B0520,V15441,CY	0.0 	0.0 	0.0 
B0520,V15441,CZ	: c	: c	: c
B0520,V15441,DE	: c	: c	: c
B0520,V15441,DK	: u	: 	: 
B0520,V15441,EE	0.0 	0.0 	0.0 
B0520,V15441,EL	0.0 b	: c	0.0 
B0520,V15441,ES	: c	0.0 	: c
B0520,V15441,FI	0.0 	0.0 	0.0 
B0520,V15441,HR	0.0 	0.0 	0.0 
B0520,V15441,HU	0.0 	0.0 	0.0 
B0520,V15441,IE	0.0 	0.0 	: c
B0520,V15441,IT	0.0 	0.0 	0.0 
B0520,V15441,LT	0.0 	0.0 	0.0 
B0520,V15441,LU	0.0 	0.0 	0.0 
B0520,V15441,LV	0.0 	0.0 	0.0 
B0520,V15441,MT	0.0 	0.0 	0.0 
B0520,V15441,NL	0.0 	0.0 	: 
B0520,V15441,NO	0.0 	0.0 	0.0 
B0520,V15441,PL	0.0 d	: 	0.8 d
B0520,V15441,PT	0.0 	0.0 	0.0 
B0520,V15441,RO	: c	0.0 	: c
B0520,V15441,SI	: c	: c	: c
B0520,V15441,SK	: c	: c	: c
B0520,V15441,UK	0.0 	0.0 	0.0 
B06,V15420,AT	: c	: c	: c
B06,V15420,BE	0.0 	0.0 	0.0 
B06,V15420,BG	2.9 	: c	: c
B06,V15420,CY	0.0 	0.0 	0.0 
B06,V15420,CZ	: c	: c	: c
B06,V15420,DE	: c	0.0 	: c
B06,V15420,EE	: c	: c	: c
B06,V15420,EL	0.0 b	: c	0.0 
B06,V15420,ES	0.0 	: c	15.8 
B06,V15420,FI	0.0 	0.0 	0.0 
B06,V15420,HR	: c	: c	: c
B06,V15420,HU	0.0 	0.0 	0.0 
B06,V15420,IE	: c	: c	: c
B06,V15420,IT	0.0 	0.0 	23.8 
B06,V15420,LT	0.0 	0.0 	0.0 
B06,V15420,LU	0.0 	0.0 	0.0 
B06,V15420,LV	0.0 	0.0 	0.0 
B06,V15420,MT	0.0 	0.0 	0.0 
B06,V15420,NL	10.7 	15.7 	7.6 
B06,V15420,NO	: 	0.0 	: c
B06,V15420,PL	: cd	: 	: cd
B06,V15420,PT	0.0 	0.0 	0.0 
B06,V15420,RO	: c	: c	: c
B06,V15420,SI	: c	0.0 	: c
B06,V15420,SK	0.0 	0.0 	: c
B06,V15420,UK	: c	: c	: c
B06,V15441,AT	: c	: c	: c
B06,V15441,BE	0.0 	0.0 	0.0 
B06,V15441,BG	0.0 	0.0 	: c
B06,V15441,CY	0.0 	0.0 	0.0 
B06,V15441,CZ	: c	: c	: c
B06,V15441,DE	5.3 	: c	2.8 
B06,V15441,EE	: c	: c	: c
B06,V15441,EL	0.1 b	: c	: c
B06,V15441,ES	0.0 	: c	0.3 
B06,V15441,FI	0.0 	0.0 	0.0 
B06,V15441,HR	: c	: c	: c
B06,V15441,HU	0.0 	0.0 	0.5 
B06,V15441,IE	: c	: c	: c
B06,V15441,IT	14.7 	6.2 	1.9 
B06,V15441,LT	0.0 	0.0 	0.0 
B06,V15441,LU	0.0 	0.0 	0.0 
B06,V15441,LV	0.0 	0.0 	0.0 
B06,V15441,MT	0.0 	0.0 	0.0 
B06,V15441,NL	51.1 	41.4 	49.9 
B06,V15441,NO	0.5 	0.0 	: c
B06,V15441,PL	: cd	: 	: cd
B06,V15441,PT	0.0 	0.0 	0.0 
B06,V15441,RO	: c	: c	: c
B06,V15441,SI	: c	0.0 	: c
B06,V15441,SK	0.0 	0.0 	: c
B06,V15441,UK	34.9 	158.6 	: c
B061,V15420,AT	: c	: c	: c
B061,V15420,BE	0.0 	0.0 	0.0 
B061,V15420,BG	: c	: c	: c
B061,V15420,CY	0.0 	0.0 	0.0 
B061,V15420,CZ	: c	: c	: c
B061,V15420,DE	0.0 	0.0 	: c
B061,V15420,EE	: c	: c	: c
B061,V15420,EL	0.0 b	: c	0.0 
B061,V15420,ES	: c	0.3 	: c
B061,V15420,FI	0.0 	0.0 	0.0 
B061,V15420,HR	0.0 	0.0 	0.0 
B061,V15420,HU	0.0 	0.0 	0.0 
B061,V15420,IE	: c	0.0 	: c
B061,V15420,IT	0.0 	0.0 	: c
B061,V15420,LT	0.0 	0.0 	0.0 
B061,V15420,LU	0.0 	0.0 	0.0 
B061,V15420,LV	0.0 	0.0 	0.0 
B061,V15420,MT	0.0 	0.0 	0.0 
B061,V15420,NL	: c	: c	: c
B061,V15420,NO	: 	: c	510.1 
B061,V15420,PL	: cd	: 	: cd
B061,V15420,PT	0.0 	0.0 	0.0 
B061,V15420,RO	: c	: c	: c
B061,V15420,SI	0.0 	0.0 	0.0 
B061,V15420,SK	0.0 	0.0 	0.0 
B061,V15420,UK	: c	: c	: c
B061,V15441,AT	: c	: c	: c
B061,V15441,BE	0.0 	0.0 	0.0 
B061,V15441,BG	0.0 	0.0 	: c
B061,V15441,CY	0.0 	0.0 	0.0 
B061,V15441,CZ	: c	: c	: c
B061,V15441,DE	0.0 	0.0 	: c
B061,V15441,DK	: u	: 	: 
B061,V15441,EE	: c	: c	: c
B061,V15441,EL	0.1 b	: c	: c
B061,V15441,ES	: c	0.1 	: c
B061,V15441,FI	0.0 	0.0 	0.0 
B061,V15441,HR	0.0 	0.0 	0.0 
B061,V15441,HU	0.0 	0.0 	0.0 
B061,V15441,IE	: c	0.0 	: c
B061,V15441,IT	0.5 	0.2 	: c
B061,V15441,LT	0.0 	0.0 	0.0 
B061,V15441,LU	0.0 	0.0 	0.0 
B061,V15441,LV	0.0 	0.0 	0.0 
B061,V15441,MT	0.0 	0.0 	0.0 
B061,V15441,NL	: c	: c	: c
B061,V15441,NO	0.5 	: c	0.0 
B061,V15441,PL	0.0 d	: 	: cd
